Id Estado;Estado;Material;Tipo material;Texto breve de material;Centro área pl.nec.;Almacén;Ubicación;Caract.planif.nec.;Punto de pedido;Cálculo de tamaño de lote;Stock alm.máx.;Libre utilización;Libre Utilización Área;Stock de seguridad;Stock en Curso;Cantidad Pendiente en SolPed;Grupo de compras;Denominación GrpComp;Valor total;Nombre Fabricante;Numero Pieza de Fabricante;Rubro;SubRubro;Embalar;Peso bruto;Peso neto;Unidad de peso;Volumen;Plazo entrega prev.;Valor libre utilización;Moneda valor libre utilización;Menor a PP;Stock nulo;Mayor a PP;Mayor a Stock Maximo;Menor a PP area;Stock nulo area;Mayor a PP area;Mayor a Stock Maximo area
3;03-MAYOR A PUNTO DE PEDIDO;1003179;ZSTO;FILTRO DE TRANSMISION (CARTUCHO);U365;0365;;V1;1;HB;2;1;0;0;0;0;F03;FILTRO ACEITE;251379,7;CATERPILLA;3761288;FILTROS;CAT 950;7-PESADO;2,639;0;KG;12160;15;251379,7;;;;1;;;;;
4;04-MAYOR A STOCK MAXIMO;1003180;ZSTO;FILTRO DE AIRE;U365;0365;;V1;2;HB;3;22;0;0;0;0;F04;FILTRO AIRE;65089,86;DBT S.A. // DONALDSON // DARMET;3025127 // P822686 // VP-2735;FILTROS;HIMOINSA LTA 8 V LED;9-FRAGIL;0,27;0;KG;2662;15;65089,95;;;;;1;;;;
4;04-MAYOR A STOCK MAXIMO;1003181;ZSTO;FILTRO DE COMBUSTIBLE;U365;0365;;V1;3;HB;5;16;0;0;0;0;F06;FILTRO COMBUSTIBLE;81351,27;DBT S.A. // FLEETGUARD // HIFI FILTE // DONALDSON;3048841 // FF 5259 // SN 21590 // P502166;FILTROS;HIMOINSA LTA 8 V LED;9-FRAGIL;0,05;0;KG;144;15;151850,62;;;;;1;;;;
4;04-MAYOR A STOCK MAXIMO;1003182;ZSTO;FILTRO GASOIL;U365;0365;;V1;2;HB;3;11;0;0;0;0;F06;FILTRO COMBUSTIBLE;138254,82;DBT S.A. // VER // HIMOINSA S // DONALDSON;3024206 // 17108155910 // 3082015 // P502406;FILTROS;HIMOINSA LTA 8 V LED;9-FRAGIL;0,04;0;KG;144;15;138254,8;;;;;1;;;;
4;04-MAYOR A STOCK MAXIMO;1003183;ZSTO;FILTRO DE ACEITE MOTOR;U365;0365;;V1;2;HB;3;7;0;0;0;0;F03;FILTRO ACEITE;97424,81;DBT S.A. // // FLEETGUARD // // DONALDSON // //;3035098 // LF3925 // LF3925 // T 600 // P502067 // W67/1 // W671;FILTROS;HIMOINSA LTA 8 V LED;7-PESADO;0,23;0;KG;343;15;97424,83;;;;;1;;;;
4;04-MAYOR A STOCK MAXIMO;1003196;ZSTO;FILTRO SEPARADOR;U365;0365;;V1;2;HB;3;6;0;0;0;0;F12;FILTRO SEPARADOR;257679;MANN // DONALDSON;LB9622 // P783499;FILTROS;IS VENTEC 6TK/2TB/AY/TECEL/11,;8-VARIOS;1,011;0;KG;2370,375;15;1133368,2;;;;;1;;;;
4;04-MAYOR A STOCK MAXIMO;1003197;ZSTO;FILTRO AIRE;U365;0365;;V1;1;HB;2;12;0;0;0;0;F04;FILTRO AIRE;0;FILPLUS;A8116;FILTROS;IS VENTEC 6TK/2TB/AY/TECEL/11,;9-FRAGIL;0;0;KG;0;15;0;;;;;1;;;;
3;03-MAYOR A PUNTO DE PEDIDO;1003198;ZSTO;FILTRO ACEITE HIDRAULICO;U365;0365;;V1;4;HB;6;5;0;0;0;0;F07;FILTRO FLUIDO HIDR;0;DONALDSON;P556005;FILTROS;IS VENTEC 6TK/2TB/AY/TECEL/11,;9-FRAGIL;0,48;0;KG;890,19;15;113443,8;;;;1;;;;;
4;04-MAYOR A STOCK MAXIMO;1003199;ZSTO;FILTRO AIRE;U365;0365;;V1;2;HB;3;6;0;0;0;0;F04;FILTRO AIRE;80594,76;DONALDSON;C065003;FILTROS;IS VENTEC 6TK/2TB/AY/TECEL/11,;7-PESADO;0,59;0;KG;5202;15;271073,56;;;;;1;;;;
4;04-MAYOR A STOCK MAXIMO;1003200;ZSTO;FILTRO HIDRAULICO;U365;0365;;V1;1;HB;2;6;0;0;0;0;F07;FILTRO FLUIDO HIDR;52322,18;DONALDSON;P567075;FILTROS;IS VENTEC 6TK/2TB/AY/TECEL/11,;7-PESADO;0,48;0;KG;2106;15;596021,38;;;;;1;;;;
4;04-MAYOR A STOCK MAXIMO;1003201;ZSTO;FILTRO ACEITE HIDRAULICO;U365;0365;;V1;2;HB;3;7;0;0;0;0;F07;FILTRO FLUIDO HIDR;0;DONALDSON;P550940;FILTROS;CAMION VOLVO FMX 460;7-PESADO;0,422;0;KG;637,616;15;71838,36;;;;;1;;;;
2;02-MENOR A PUNTO DE PEDIDO;1003202;ZSTO;FILTRO DE COMBUSTIBLE;U365;0365;;V1;8;HB;13;6;0;0;0;0;F06;FILTRO COMBUSTIBLE;86986,62;LEVAS BOSC //;986450694 // P556287;FILTROS;IS VENTEC 6TK/2TB/AY/TECEL/11,;9-FRAGIL;0,24;0;KG;972;15;86986,62;;1;;;;;;;
4;04-MAYOR A STOCK MAXIMO;1003203;ZSTO;FILTRO ACEITE;U365;0365;;V1;2;HB;3;6;0;0;0;0;F03;FILTRO ACEITE;0;MANN // MAHLE FILT // DONALDSON;W6103 // OC 195 // P502007;FILTROS;IS VENTEC 6TK/2TB/AY/TECEL/11,;7-PESADO;0,253;0;KG;465,5;15;31914,1;;;;;1;;;;
